Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Comoros,635.33,657.93,666.86,679.76,702.93,712.03,724.76,737.08,743.84,768.63,811.94,844.85,922.81,1010.77,1068.14,1050.18,1125.87,1206.16,1173.09,1138.05,1207.92,1255.2,1227.65,1232.21,1277.08,1244.91,1190.15,1147.66,1146.91,1194.92,1245.11,1258.03,1299.98,1319.36,1360.01,1335.05,1315.06,1299.1,1290.61,1216.09,1220.98,1164.18,1220.33,1215.46,1123.05,1133.59,1084.3,1089.99,1088.95,1080.54,1046.99,1063.41,1081.21,1075.7,1045.5,1064.23,1053.95,1033.99,1024.74,1017.74,1020.4,1025.81,1040.31,1059.98,1080.04,1100.24
Congo,1224.6,1250.28,1275.48,1300.11,1325.12,1350.39,1374.86,1399.55,1424.33,1449.12,1469.43,1550.86,1586.79,1548.17,1570.2,1588.16,1594.3,1637.69,1722.8,1817.09,1917.27,2010.98,2097.35,2382.25,2431.45,2309.79,2325.7,2126.59,2166.56,2363.36,2565.72,2733.36,3042.94,3172.92,3274.33,3151.27,2964.39,2921.28,3108.17,3282.12,3238.78,3150.43,3153.4,3027.37,2785.88,2885.81,2968.41,2916.01,2982.15,2848.33,2960.67,2951.19,2985.07,2913.27,2936.94,3083.64,3170.12,2982.69,3084.64,3280.44,3509.32,3696.27,3713.55,3682.72,3675.28,3681.2
Congo the Democratic Republic of the,670.79,740.95,784.73,833.81,853.81,881.57,911.41,908.59,871.72,872.59,899.94,798.68,890.66,909.36,888.66,865.7,892.03,860.72,882.82,930.67,909.76,952.38,915.58,929.84,962.18,871.84,866.86,830.44,744.07,725.71,715.31,732.85,686.76,700.33,722.54,695.0,690.3,683.78,665.92,658.79,627.16,530.73,447.55,396.32,353.08,363.79,338.67,294.14,275.08,246.87,209.75,224.81,227.92,234.83,242.92,253.4,258.29,266.66,275.21,273.94,280.37,290.75,300.96,314.89,324.99,336.88
Cook Islands,98.28,107.54,117.84,129.52,142.39,155.99,172.3,187.67,204.08,221.64,245.59,268.38,294.79,320.89,357.3,393.05,431.62,472.23,520.74,573.26,635.99,689.31,759.49,952.85,1236.95,1649.84,2347.76,2409.68,2421.62,3175.43,4224.83,5896.04,7605.36,7607.96,8669.27,9366.71,10108.26,9989.27,10202.73,10665.98,11457.72,12158.31,12718.35,13044.06,13433.45,12846.62,12899.68,12775.25,12880.64,13371.54,15211.08,15819.23,15962.19,16874.56,17225.2,16942.06,16841.33,18218.31,17882.44,17822.11,19455.0,21321.74,23418.29,25733.34,28285.6,31090.7
Costa Rica,2990.29,3000.27,3233.05,3579.09,3578.85,3798.62,3647.05,3761.88,4007.88,4007.61,4156.22,4053.29,4184.22,4299.13,4355.09,4627.77,4779.03,4885.65,5055.96,5183.26,5408.47,5597.34,5830.32,6073.72,6245.65,6245.74,6420.16,6810.83,6965.34,7102.39,7036.68,6610.51,6002.6,6014.11,6231.98,6158.41,6321.97,6442.79,6477.27,6607.54,6669.42,6611.81,6996.23,7301.89,7440.03,7506.49,7384.88,7597.95,7979.45,8373.46,8353.85,8296.02,8368.03,8703.48,8897.86,9230.02,9850.0,10437.73,10570.71,10313.04,10398.91,10674.0,10979.21,11302.63,11630.57,11968.08
Croatia,6549.39,6679.55,6821.31,6987.32,7159.03,7309.51,7524.76,7638.17,7741.39,7835.4,8091.67,8241.15,8436.29,8558.43,8881.34,9105.6,9318.91,9502.16,9765.65,10019.29,10359.65,10576.58,10783.62,11083.43,11351.05,11317.38,11611.01,11798.01,12018.29,12162.83,12156.25,12158.97,12064.32,11997.12,12106.41,12149.94,12263.16,12386.78,12577.74,12659.98,12663.05,10561.13,9485.62,8692.83,9266.64,9923.33,10635.33,11166.88,11564.87,11325.22,12051.37,12415.51,13036.62,13691.24,14263.02,14854.24,15586.42,16423.88,16819.53,15859.5,15687.02,15953.19,16346.95,16823.91,17314.54,17818.67
Cuba,4179.39,4417.7,4487.29,3969.37,4083.5,4183.71,4444.69,4917.19,4859.65,4355.71,4344.89,4357.49,4366.79,4356.04,4331.57,4308.96,4440.1,4814.31,4525.46,4432.82,4255.74,4537.33,4667.38,4774.53,4773.01,5109.52,5291.51,5647.32,5954.6,5988.52,5728.33,6690.85,7179.96,7485.25,7966.58,7905.81,7911.4,7823.3,7970.37,7957.34,7581.61,6849.47,5952.67,5167.06,5263.72,5322.05,5595.43,5644.73,5701.18,5960.74,6248.84,6451.4,6566.61,6848.72,7105.03,7232.4,8067.81,8635.72,8862.04,9096.01,9250.79,9445.54,9665.3,9894.93,10133.0,10376.71
Cyprus,3345.86,3387.0,3621.61,3891.97,4008.16,4127.03,4541.7,4754.16,4344.94,4509.04,4211.57,4476.16,4925.58,5055.14,4603.23,5313.87,5547.99,5999.89,6232.21,6728.46,6771.48,7380.68,7722.04,7857.59,6992.92,6132.02,7259.1,8488.14,9169.31,9917.63,10420.59,10560.87,11076.76,11559.51,12410.35,12821.83,13118.61,13945.39,15104.85,16126.03,16955.5,16218.97,17257.84,16833.31,17477.8,18690.49,18708.55,18819.12,19501.22,20179.25,20976.36,21542.44,21720.06,21764.14,22223.91,22532.97,22983.5,23753.5,24281.92,23581.33,23099.73,23191.07,23430.51,23752.01,24085.32,24442.7
Czech Republic,6528.38,6699.84,6884.89,7096.63,7316.58,7517.17,7787.02,7953.91,8111.89,8261.85,8585.52,8798.9,9063.68,9252.51,9661.76,9967.79,10265.2,10532.64,10892.52,11245.44,11700.3,12020.15,12332.23,12754.5,13144.31,13187.42,13614.34,13920.27,14269.02,14531.09,14614.21,14709.07,14686.01,14695.7,14922.48,15069.95,15305.68,15556.83,15895.63,16099.8,16204.6,14263.62,14159.62,14278.21,14665.54,15492.21,16207.22,16132.13,16059.25,16311.33,16898.4,17413.18,17792.91,18454.08,19293.3,20440.54,21783.5,23049.61,23460.56,22427.44,22885.0,23383.16,24170.97,24968.07,25790.46,26641.62
Côte d'Ivoire,1148.36,1169.15,1189.95,1210.76,1232.47,1253.95,1275.25,1297.26,1318.64,1335.13,1403.51,1488.53,1473.78,1594.3,1770.95,1670.63,1759.56,1749.61,1890.84,1929.11,2007.66,2073.15,2075.17,2094.95,2091.49,2133.72,2278.62,2330.2,2434.75,2397.25,2183.13,2177.72,2158.5,2006.1,1909.17,1934.1,1940.72,1865.67,1836.09,1880.7,1787.8,1719.69,1658.4,1631.37,1586.88,1636.89,1716.78,1748.94,1783.6,1776.15,1679.39,1632.16,1571.18,1521.32,1497.39,1489.61,1465.54,1450.73,1445.81,1471.09,1474.08,1490.29,1513.08,1540.28,1575.97,1620.09
Denmark,9692.54,9546.77,9655.59,10125.55,10415.87,10372.99,10520.42,10969.01,11137.09,11877.37,12345.74,12993.42,13602.61,13625.99,14653.6,15145.58,15474.05,15884.22,16368.62,17248.9,17525.27,17894.98,18459.22,19103.61,18878.38,18701.33,19796.09,20098.04,20470.62,21162.47,21030.56,20862.73,21645.24,22213.68,23158.48,24126.65,25348.72,25363.08,25309.04,25458.03,25811.29,26072.35,26498.81,26359.47,27758.53,28515.01,29136.31,29975.31,30540.15,31207.92,32255.56,32357.69,32406.64,32427.66,33060.96,33814.06,34881.49,35329.47,34844.98,32947.49,33520.77,34206.95,34868.19,35512.07,36129.16,36738.13
Djibouti,3295.96,3395.84,3425.64,3479.16,3582.83,3615.66,3667.58,3713.76,3723.02,3827.71,3958.39,3996.88,3965.97,4011.93,3997.11,4006.87,4036.93,4046.8,4039.85,4048.48,4708.15,4739.71,4667.8,4675.69,4366.05,4505.87,4670.66,3960.94,3466.34,3538.76,3505.14,3468.39,3448.38,3390.66,3663.81,3596.25,3448.37,3355.24,3211.1,2984.1,3099.17,2569.83,2530.97,2421.83,2345.97,2259.92,2099.02,1966.87,1886.67,1900.96,1883.81,1873.99,1875.38,1927.92,2004.61,2029.26,2064.93,2089.89,2062.56,2143.76,2186.01,2246.31,2322.76,2402.72,2486.16,2572.84
Dominica,1109.05,1150.69,1195.48,1245.79,1298.53,1348.8,1412.58,1458.71,1504.04,1548.69,1627.06,1685.83,1755.65,1811.94,1912.88,1995.17,2077.29,2154.84,2252.97,2351.54,2473.56,2616.24,2723.15,2914.92,3004.49,3091.75,3233.86,3283.57,3607.71,3076.9,3426.15,3767.91,3919.87,4024.56,4249.74,4318.02,4622.7,4971.24,5394.68,5430.71,5731.9,5805.49,5942.04,5999.97,6072.8,6158.68,6392.29,6547.69,6807.53,6900.33,6971.25,6605.88,6302.88,6310.78,6631.85,6920.94,7277.79,7527.94,7744.68,7988.43,8106.17,8303.01,8545.29,8794.88,9051.63,9315.8
Dominican Republic,1600.15,1725.96,1802.84,1755.3,1810.05,1841.78,1945.31,1985.75,2019.63,2048.15,2141.17,2047.31,2313.51,2387.48,2458.87,2163.52,2313.9,2303.91,2243.43,2382.75,2648.84,2821.07,3029.64,3286.11,3343.48,3395.07,3541.06,3627.2,3650.29,3714.59,3859.61,4004.8,4023.57,4113.61,4086.93,3904.63,3948.02,4203.46,4207.95,4309.38,4035.97,4007.36,4371.46,4614.5,4659.67,4809.96,5062.59,5397.9,5716.68,5990.6,6211.53,6231.82,6485.09,6285.58,6276.13,6784.24,7408.22,7917.15,8235.89,8371.12,8662.51,8963.93,9314.98,9679.87,10059.02,10452.98
Ecuador,2460.63,2438.86,2542.48,2624.78,2773.97,2797.15,2819.68,2859.6,2844.47,2915.37,3028.35,3009.28,3030.61,3059.79,3188.46,3228.4,3203.39,3329.2,3371.68,3390.48,3512.99,3656.19,3812.92,4350.09,4598.52,4786.71,4995.8,5198.03,5404.58,5493.06,5620.19,5609.34,5567.12,5181.03,5232.31,5293.25,5332.55,4966.02,5277.83,5181.92,5161.37,5356.92,5388.46,5336.27,5475.49,5443.86,5450.91,5556.4,5572.72,5112.85,5213.55,5533.09,5640.65,5732.66,6105.95,6375.16,6528.01,6636.79,7007.47,6920.75,7028.26,7096.84,7150.25,7178.96,7207.69,7236.68
Egypt,1112.16,1113.02,1138.64,1154.08,1127.45,1116.07,1125.67,1149.88,1201.25,1226.07,1271.34,1302.76,1328.57,1369.88,1483.09,1533.33,1511.95,1496.2,1520.8,1575.69,1626.2,1659.4,1634.34,1619.63,1610.28,1704.92,1904.8,1999.86,2126.91,2233.72,2301.15,2360.28,2541.56,2676.76,2788.92,2867.14,2936.57,2897.99,2968.15,3034.41,3121.82,3196.67,3273.73,3313.1,3392.28,3489.08,3578.59,3674.43,3814.63,3958.52,4071.28,4121.13,4169.46,4229.02,4320.97,4453.96,4666.48,4876.62,5088.04,5228.33,5390.02,5569.54,5765.39,5976.38,6211.01,6471.28
El Salvador,2803.7,2829.29,2947.89,3070.76,3066.47,3128.76,3240.27,3301.88,3271.53,3273.73,3322.26,3312.86,3545.13,3581.37,3776.6,3863.37,4009.04,4074.51,4059.27,4087.18,4105.36,4164.66,4272.61,4399.66,4541.29,4636.9,4761.09,4973.59,5118.0,4844.46,4417.85,4056.96,3804.99,3793.9,3825.66,3831.2,3807.81,3835.43,3858.92,3855.63,3918.53,4007.14,4251.79,4509.2,4735.49,4994.97,5012.35,5165.78,5310.35,5437.57,5513.81,5588.25,5681.93,5782.32,5863.57,6032.31,6262.1,6511.22,6643.45,6356.3,6385.73,6502.84,6651.52,6862.56,7080.45,7305.48
Equatorial Guinea,594.9,617.05,629.79,646.59,671.57,683.19,701.76,715.66,729.13,758.21,817.79,840.84,869.24,931.41,992.48,1025.79,1052.44,1096.45,1115.47,1109.62,1093.18,1130.33,1089.13,1198.44,1310.08,1525.73,1688.24,1780.77,1557.3,1431.99,1383.8,1378.32,1340.69,1272.33,1249.55,1276.92,1176.54,1187.53,1175.77,1111.28,1078.29,1039.81,1155.14,1194.03,1184.63,1323.53,1895.65,3713.54,4348.33,5575.54,6376.27,9799.09,11428.27,12578.02,16736.46,17811.06,17586.67,20776.02,23151.54,22605.83,22283.04,22192.97,21988.01,22013.64,21681.38,21332.59
Eritrea,321.25,325.62,330.48,336.44,342.59,347.64,355.68,358.82,361.43,363.57,373.15,377.71,384.27,387.44,399.59,407.16,414.13,419.68,428.66,437.09,449.16,455.75,461.81,471.73,480.15,475.78,485.12,489.91,495.98,498.86,495.52,492.59,485.75,480.07,481.46,480.22,481.72,483.58,488.02,488.19,485.3,529.85,579.29,668.54,798.74,810.94,847.37,907.01,931.92,909.83,783.12,802.97,790.48,745.85,716.47,708.85,666.12,657.23,579.26,579.67,574.32,574.02,575.8,579.19,583.84,589.86
Estonia,3834.14,3804.18,3975.49,4080.96,4208.13,4472.25,4792.65,4820.37,5079.03,4966.15,5316.48,5518.2,5588.1,5419.51,5987.06,6242.11,6468.11,6681.82,6991.89,7043.92,7488.52,7624.92,7621.65,8149.16,8317.2,8296.09,8600.48,8740.27,8896.2,8821.94,8797.11,8844.04,9099.71,9336.09,9446.27,9463.95,9671.07,9809.71,9982.67,10157.33,9748.73,9006.92,7482.62,7205.34,7219.57,7692.91,8196.58,9193.71,9764.03,9829.4,10838.34,11659.7,12672.28,13701.17,14804.21,16436.18,18283.78,19513.77,18585.32,16179.51,16598.84,17148.38,17732.19,18338.18,18963.91,19602.66
Ethiopia,343.73,376.15,382.44,404.99,407.39,418.84,422.36,418.62,439.81,430.75,457.21,466.43,473.28,481.17,487.9,504.44,515.83,532.04,545.71,553.8,541.69,553.22,565.72,568.85,562.25,544.25,540.53,533.43,514.49,541.21,559.34,550.6,538.19,558.5,529.87,469.61,492.45,507.5,528.49,503.16,502.16,455.71,399.78,439.05,439.85,452.46,494.41,514.03,480.42,494.15,507.82,532.75,525.6,497.91,540.91,591.78,640.49,694.72,751.66,800.54,841.62,888.51,934.11,982.08,1032.51,1087.61
Fiji,1561.85,1595.4,1631.82,1674.16,1718.0,1756.87,1811.45,1841.64,1869.46,1895.14,1960.2,1958.15,1958.4,2023.09,2064.11,1966.63,1935.45,2117.64,2244.24,2250.74,2436.4,2560.56,2694.38,2965.27,2928.18,2918.8,2924.59,3020.87,3064.83,3403.04,3319.34,3374.6,3178.24,2944.05,3142.34,3062.12,3082.49,2911.02,2901.91,3166.65,3508.67,3372.23,3527.02,3584.56,3709.73,3781.73,3914.8,3791.1,3826.45,4115.01,3996.78,4038.21,4144.95,4156.47,4328.88,4323.27,4368.77,4298.69,4267.13,4126.0,4174.67,4258.64,4356.32,4459.71,4566.31,4675.82
Finland,6406.47,6851.78,7077.63,6995.1,7460.46,7853.32,8001.0,8082.31,8054.73,8490.17,9099.53,9663.81,9878.3,10152.41,10586.86,11074.33,11293.41,11468.71,11664.17,12658.83,13488.79,13753.52,14582.68,15365.61,15910.37,15973.94,15885.82,16028.24,16317.85,17360.01,18198.0,18390.51,18872.34,19311.78,19826.73,20322.97,20766.22,21424.42,22493.67,23641.52,23499.08,21885.21,20921.76,20538.28,21188.44,22061.86,22684.27,24086.58,25318.73,26269.3,27568.17,28158.13,28576.74,29055.11,30125.42,30959.08,32216.85,33852.55,34028.81,31152.02,31762.14,32254.9,32736.5,33224.77,33723.84,34199.23
Former USSR,2411.85,2380.31,2496.23,2563.65,2646.8,2830.88,3057.39,3065.85,3246.25,3149.4,3397.34,3534.54,3572.71,3433.17,3842.21,4018.39,4172.49,4317.02,4534.27,4555.57,4874.39,4958.64,4936.39,5317.35,5424.21,5386.52,5596.18,5680.06,5775.72,5696.49,5655.04,5660.0,5754.99,5894.17,5914.2,5913.7,6110.95,6138.1,6221.65,6285.51,6084.73,5650.98,4781.58,4288.42,3673.21,3472.26,3369.89,3444.85,3366.2,3538.67,3860.94,4124.02,4368.94,4732.63,5161.82,5552.21,5751.61,5970.27,6107.63,5988.21,6100.64,6239.84,6396.05,6559.32,6728.75,6902.49
France,7547.98,7900.89,8175.61,8327.78,8490.88,8786.07,9264.0,9628.22,9717.35,9961.55,10444.64,10864.07,11337.96,11736.8,12340.7,12761.73,13271.68,13751.7,14230.01,15030.4,15652.13,16266.6,16828.38,17678.79,18238.74,18034.1,18745.59,19269.79,19873.73,20449.38,20703.41,20744.84,21157.64,21276.96,21476.17,21770.93,22244.89,22713.14,23628.29,24405.74,24917.57,25032.06,25217.15,24875.41,25324.91,25771.31,25950.95,26416.59,27244.94,28007.12,28956.03,29306.38,29414.45,29520.1,30034.18,30442.83,30893.92,31426.03,31331.34,30300.34,30654.45,31049.57,31494.75,31991.63,32531.07,33070.37
French Polynesia,8777.82,8983.66,9206.5,9463.64,9730.21,9969.59,10299.17,10491.07,10670.13,10837.6,11231.33,11478.92,11791.95,12004.64,12501.26,12861.9,13209.37,13516.37,13939.89,14352.12,14891.72,16096.18,14897.2,15545.51,17710.52,16373.15,17152.41,16986.52,18070.6,18216.98,17780.8,18699.37,19930.0,20400.54,20902.26,21441.59,22626.65,23625.58,23642.53,23811.62,23816.57,24444.99,24177.58,23741.77,23481.68,23166.04,22818.63,22831.36,23785.23,24290.82,24816.73,24535.23,24165.34,24820.59,25025.12,25211.34,25145.54,25318.63,25601.57,25797.2,26336.85,26994.48,27728.53,28496.21,29293.81,30113.44
Gabon,4785.82,4931.73,5080.58,5231.44,5388.22,5550.2,5713.22,5880.52,6051.27,6224.59,6422.96,7103.55,7465.47,7877.42,8262.91,8659.54,8804.73,9252.54,9409.36,10100.39,10756.88,11464.22,12210.69,12837.79,16622.78,18072.73,22509.78,19357.28,15614.94,15069.8,15292.31,14665.85,14378.67,14469.44,14816.59,14798.83,14225.58,11577.03,12113.52,13235.34,13605.37,14025.84,13166.83,13350.92,13472.3,13780.61,13874.23,14817.9,14877.66,13099.55,12630.68,12503.64,12132.59,12183.58,12089.88,12135.99,11905.78,12321.27,12462.53,12138.96,12496.79,12920.88,13177.07,13483.56,13692.12,13835.76
Gambia,882.93,911.4,920.73,935.25,963.47,972.15,985.43,998.44,1002.33,1030.51,1065.52,1059.42,1041.47,1020.66,1077.89,1131.9,1161.89,1142.19,1153.66,1169.23,1147.0,1114.77,1117.86,1137.98,1196.2,1253.97,1259.85,1239.18,1254.14,1277.65,1199.4,1128.17,1231.61,1269.88,1193.68,1170.7,1160.94,1143.54,1132.69,1152.07,1153.07,1144.1,1134.66,1141.86,1115.24,1062.94,1073.67,1078.61,1082.37,1108.19,1138.42,1165.97,1100.21,1145.28,1200.12,1289.82,1309.54,1394.3,1460.98,1497.67,1532.36,1573.73,1615.8,1658.82,1703.11,1748.76
Georgia,1578.56,1558.09,1658.76,1720.53,1796.36,1959.92,2164.47,2179.23,2348.01,2268.64,2501.68,2637.0,2681.51,2560.22,2955.6,3135.9,3297.49,3451.96,3682.04,3716.05,4056.4,4157.85,4148.5,4566.38,4696.71,4671.74,4915.82,5024.61,5147.49,5076.69,5047.64,5070.16,5193.79,5368.73,5409.61,5427.27,5672.7,5723.33,5840.15,5934.84,5718.88,4581.78,2624.58,1922.47,1758.22,1818.8,2170.87,2363.76,2404.84,2472.99,2634.16,2713.09,2858.37,3138.7,3386.92,3691.51,4052.63,4508.13,4748.23,4574.55,4722.65,4866.63,5038.33,5218.16,5405.99,5600.95
Germany,6143.78,6607.37,7099.04,7597.02,8079.86,8834.58,9364.81,9812.02,10168.24,10776.89,11498.46,11860.69,12253.59,12511.99,13120.24,13636.03,13948.13,14016.15,14669.89,15461.69,16030.03,16436.61,17031.0,17690.72,17770.81,17802.99,18680.72,19285.91,19872.82,20663.09,20889.95,20859.06,20731.99,21145.26,21789.6,22303.54,22862.45,23209.74,23955.21,24657.73,25654.13,26685.54,27090.82,26704.83,27292.43,27728.78,27910.44,28358.12,28928.01,29498.62,30401.89,30725.17,30644.47,30561.82,30921.77,31160.76,32227.96,33148.59,33552.98,32037.54,33125.48,33862.54,34615.95,35328.93,36002.91,36563.15
Ghana,685.71,694.59,671.1,736.09,799.55,740.76,816.0,771.44,792.92,835.7,829.23,806.81,890.42,878.59,972.88,822.69,871.58,798.73,875.59,888.07,1044.32,1138.66,1113.4,1056.79,1079.58,954.58,899.58,914.84,953.69,954.62,911.9,897.81,856.06,768.19,797.42,822.09,818.47,825.7,867.26,892.62,895.95,921.09,911.99,918.44,925.35,940.13,958.94,940.77,970.46,977.53,1013.96,1031.91,1048.84,1081.69,1122.29,1163.12,1209.71,1259.04,1328.78,1356.67,1388.72,1481.47,1542.42,1596.39,1648.82,1699.37
Greece,4447.85,4756.66,4679.23,5083.19,5200.85,5451.76,5832.49,6149.67,6370.62,6538.86,6693.53,7271.47,7388.99,8029.75,8610.67,9305.98,9744.47,10131.35,10723.42,11635.07,12433.79,13253.77,14431.48,15348.98,14497.64,15209.7,15966.72,16200.13,17051.44,17387.86,17396.93,16977.43,16680.96,16411.92,16659.75,17015.37,17049.32,16601.14,17268.36,17835.41,17700.61,18068.06,18014.16,17576.01,17785.86,18048.85,18377.66,18954.71,19515.18,20111.77,20958.01,21772.76,22494.13,23724.53,24764.26,25170.48,26271.37,27334.51,27732.22,26996.97,26042.43,25466.68,25753.94,26286.6,26821.96,27501.44
Greenland,12935.82,13320.78,13735.34,14206.0,14696.18,15150.54,15747.88,16140.18,16516.84,16879.48,17600.52,18099.4,18707.57,19162.38,20078.12,20784.66,21477.74,22112.37,22945.81,23769.97,24815.69,27453.9,28549.32,30045.23,31417.71,31484.5,33217.47,36153.38,38337.14,39955.79,42976.59,42752.01,40497.45,41366.07,38809.07,39769.66,42169.82,43967.5,45869.41,48452.64,42687.82,42621.49,40557.87,38619.16,40759.16,42133.24,42708.87,43250.29,46426.41,46987.14,50117.07,50583.94,49900.48,49549.24,50687.65,51590.88,53904.56,57005.54,57479.87,54276.58,55753.6,57498.04,59425.65,61447.39,63556.68,65737.76
Grenada,1035.23,1078.5,1125.07,1177.22,1232.08,1285.02,1351.3,1401.16,1450.62,1499.8,1582.15,1646.01,1721.21,1783.67,1890.75,1980.17,2070.12,2156.21,2263.63,2372.35,2505.67,2653.75,2729.09,3125.46,3224.64,2877.13,3332.66,3373.75,3575.86,3994.4,3986.16,4169.65,4328.43,4381.41,4452.41,4701.02,5128.3,5624.57,5854.89,6336.71,6790.82,6910.06,6636.74,6361.55,6649.41,6693.94,6876.35,7355.44,7963.31,8526.87,9325.1,8955.9,9098.42,9929.97,9280.45,10240.3,10044.92,10460.85,10542.39,9791.8,9885.29,10085.68,10380.14,10729.8,11139.01,11563.68
Guatemala,2290.4,2282.1,2287.59,2290.09,2239.4,2232.33,2329.71,2371.84,2409.15,2467.21,2470.3,2518.18,2512.9,2642.83,2671.51,2734.49,2841.79,2884.44,3085.93,3176.4,3271.96,3361.94,3547.54,3687.26,3819.8,3822.25,3951.03,4138.43,4240.78,4376.49,4474.75,4403.1,4198.46,4017.01,3931.6,3834.34,3756.48,3725.35,3749.63,3805.02,3838.22,3874.65,3938.08,4012.49,4065.44,4156.45,4203.6,4264.78,4340.8,4428.73,4495.71,4480.64,4547.03,4554.77,4583.35,4624.91,4762.23,4945.46,4994.69,4992.6,5001.4,5020.88,5067.23,5115.95,5165.09,5214.47
Guinea,555.15,578.41,588.61,601.69,626.48,638.68,653.27,666.73,676.98,702.8,761.28,803.33,817.3,801.95,769.2,792.3,799.26,786.07,784.5,770.83,729.09,750.19,755.57,760.34,787.16,797.46,841.74,812.43,839.34,818.56,824.34,814.83,814.83,809.0,794.96,794.45,793.04,799.03,823.84,833.8,833.16,806.11,797.53,806.84,808.63,817.95,834.52,854.97,876.54,898.14,902.6,916.36,934.8,947.92,951.98,961.56,965.59,962.96,987.78,966.4,973.07,986.9,1003.57,1020.63,1038.11,1055.27
Guinea-Bissau,423.69,446.08,469.24,494.24,577.31,556.71,620.25,653.43,669.26,674.61,704.59,729.3,733.61,786.15,823.51,849.39,811.16,865.27,880.24,910.1,852.37,820.48,866.52,870.9,925.08,998.27,1009.74,916.6,1002.67,991.07,829.68,908.99,909.49,861.58,906.79,927.14,909.11,905.36,900.57,930.31,958.11,982.69,974.72,1001.43,1018.5,1044.43,1119.5,1156.35,820.78,854.5,858.2,852.66,811.55,773.56,774.64,913.46,913.25,899.47,912.61,921.42,927.64,940.95,956.09,973.03,990.03,1006.42
Guyana,1932.95,1968.96,2008.29,2054.66,2102.58,2144.15,2204.6,2235.1,2262.53,2287.21,2359.14,2401.89,2372.6,2061.91,2229.09,2395.47,2462.62,2513.35,2495.23,2617.09,2689.34,2686.26,2578.68,2683.3,2874.78,3212.4,3236.56,3043.75,2908.74,3014.96,2966.48,2946.82,2532.07,2340.88,2311.12,2325.84,2319.42,2351.59,2332.84,2096.91,2047.51,2307.67,2468.84,2627.88,2715.65,2870.81,3090.73,3277.81,3231.28,3318.86,3375.41,3446.54,3464.63,3429.64,3496.24,3423.28,3588.36,3829.09,3896.16,4010.95,4113.77,4226.31,4345.05,4466.29,4587.47,4707.25
Haiti,1448.45,1453.17,1508.57,1452.91,1537.52,1468.24,1559.33,1462.8,1542.35,1462.06,1522.81,1454.79,1520.87,1464.92,1430.43,1440.51,1430.47,1368.45,1379.34,1393.96,1401.83,1444.99,1438.49,1469.42,1524.89,1524.52,1655.98,1664.76,1727.82,1797.62,1923.89,1885.88,1761.04,1724.08,1714.04,1705.5,1673.88,1627.64,1638.77,1558.84,1534.14,1460.1,1363.3,1311.7,1168.13,1262.75,1276.56,1274.72,1281.66,1285.45,1282.46,1247.51,1221.25,1203.9,1138.61,1149.2,1153.19,1173.18,1174.32,1196.84,1115.4,1198.06,1272.26,1334.4,1391.44,1448.47
Honduras,2086.72,2107.13,2041.2,2116.26,1896.73,1886.08,2090.73,2073.34,2126.75,2163.27,2122.15,2102.34,2127.75,2091.79,2126.24,2248.75,2286.61,2318.34,2384.95,2344.6,2355.42,2466.27,2530.4,2566.42,2623.35,2662.82,2812.44,2911.3,3089.17,3177.86,3087.53,3116.57,3026.6,2900.14,2886.48,2931.43,2858.7,2939.82,2967.35,3014.56,2925.63,2903.84,2989.51,3053.38,2903.42,2957.24,3002.5,3083.1,3094.8,2938.48,3054.42,3070.46,3112.48,3181.24,3303.72,3432.18,3581.56,3743.63,3813.33,3685.45,3709.35,3770.2,3848.32,3928.68,4012.51,4165.53
Hong Kong Special Administrative Region of China,2898.5,2996.64,3100.24,3204.6,3313.83,3427.16,3545.12,3665.41,3790.42,3919.67,4054.23,4237.24,4642.96,5301.05,5751.93,6430.22,6667.37,6572.52,6632.31,7191.74,7646.28,8088.17,8696.55,9498.98,9453.83,9387.92,10471.1,11495.0,12261.75,12971.85,13918.9,14871.34,15072.11,15611.26,16835.05,16781.99,18363.12,20606.94,22172.79,22417.35,23271.95,24399.36,25628.14,26630.09,27716.63,27738.63,27899.77,29062.07,27016.35,27377.47,29296.8,29238.38,29637.6,30390.53,32680.96,34770.2,36987.3,39043.2,39564.64,38150.65,40010.79,41483.24,42874.41,44302.33,45772.29,47288.65
Hungary,3496.97,3769.74,3865.33,3909.23,4002.9,4282.75,4102.55,4436.58,4690.89,4849.54,5065.62,5278.07,5517.71,5804.25,6061.79,6114.59,6464.68,6851.23,7032.26,7337.82,7492.03,7847.86,8207.87,8656.89,9102.41,9387.8,9580.45,10097.49,10510.87,10598.88,10635.07,10930.4,11210.4,11291.54,11582.57,11627.23,11879.05,12382.99,12415.43,12561.1,12173.85,10839.94,10558.47,10606.76,10871.62,10968.15,11083.55,11586.86,12215.83,12774.36,13485.55,14064.81,14755.9,15444.93,16205.37,16848.15,17536.16,17732.03,17873.57,16763.81,16915.62,17285.54,17815.62,18361.68,18924.88,19502.76
