Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,11073.58,11135.01,10679.32,11292.95,11808.86,12054.21,11977.59,12006.49,12452.33,12898.16,13028.02,12943.08,13470.03,14057.29,14704.5,14972.82,15320.08,15839.22,16562.44,17148.45,17655.19,17987.34,18279.11,18843.57,18767.33,19085.37,19492.35,19652.7,20196.63,20616.04,21026.19,21438.78,21189.42,21055.53,21953.79,22798.7,23155.79,23657.73,24250.15,24854.03,24745.97,24422.44,24684.18,25372.7,26250.64,26946.0,27745.7,28592.39,29664.15,30671.31,31220.6,31664.8,32455.3,33227.82,34001.23,34987.71,35577.25,36442.98,36806.47,36943.52,37603.05,38426.83,39272.72,40075.71,40913.78,41722.62
Austria,6689.03,7074.26,7075.68,7299.2,7865.28,8556.45,8909.04,9390.07,9698.0,9946.75,10807.66,11286.45,11498.9,11869.48,12451.15,12752.65,13321.55,13634.59,14136.82,14865.4,15749.98,16431.49,17274.96,17984.43,18597.66,18631.17,19458.42,20364.22,20237.18,21480.42,21753.65,21724.74,22109.6,22802.46,22869.26,23458.75,23927.85,24278.5,24846.73,25715.05,26540.88,27113.83,27471.03,27251.22,27764.48,28353.31,28940.69,29522.23,30531.69,31453.42,32517.63,32618.89,32905.08,33100.54,33764.25,34301.9,35371.97,36635.68,37303.91,35752.58,36294.72,36857.32,37468.1,38097.3,38755.73,39418.32
Azerbaijan,863.28,846.49,923.1,970.47,1029.74,1162.3,1334.49,1345.53,1492.23,1419.98,1626.94,1749.63,1788.9,1674.06,2045.62,2220.16,2379.42,2534.16,2771.0,2803.32,3166.49,3273.99,3259.34,3724.99,3870.12,3836.15,4115.29,4238.21,4378.78,4288.68,4248.59,4269.58,4410.74,4614.79,4658.06,4673.21,4966.29,5022.01,5159.77,5270.7,4867.19,4756.16,3680.14,2893.04,2333.01,2016.29,2017.28,2099.57,2277.0,2504.72,2676.93,2858.79,3111.47,3367.94,3660.78,4571.35,6075.69,7564.2,8272.74,9020.32,9377.3,9699.93,10087.14,10485.57,11038.59,11421.3
Bahamas,12301.95,12517.64,12753.96,13034.38,13324.04,13572.89,13940.52,14118.16,14276.1,14416.32,14853.67,15579.84,16299.61,17067.7,17894.68,18792.4,19561.77,20495.02,21327.46,22375.03,20717.51,20609.02,19603.83,20553.13,17236.22,14722.08,15053.58,16166.0,17768.21,20965.28,21957.06,20312.54,21157.6,21831.78,23021.66,23716.27,23771.99,24081.64,24106.91,24831.18,24258.37,23012.03,21884.01,21346.53,21630.35,22171.38,22900.39,24244.29,25438.84,25711.41,26341.73,25997.74,26313.7,25974.26,26118.19,27728.17,28591.76,28952.73,28590.32,27332.98,27241.14,27390.03,27785.3,28182.54,28584.65,28991.7
Bahrain,10301.07,10680.38,11069.09,11463.35,11864.64,12255.83,12642.35,13007.63,13334.7,13626.79,13878.28,14098.33,14357.41,14683.11,15073.58,15558.05,16080.96,16646.24,17210.23,17805.22,18473.24,18563.46,19816.2,21306.57,22132.28,19540.98,23755.07,24267.84,23288.05,23256.24,23853.06,21927.79,20299.16,21095.27,21321.58,18505.12,17764.6,17652.29,18388.52,18457.41,18885.93,19372.64,20121.87,21229.45,20815.27,20617.37,20832.12,20993.61,21535.83,21473.87,22284.7,22725.39,23471.42,24260.71,24968.14,26021.76,27137.13,28720.59,29774.4,25718.07,25226.43,25837.68,26537.83,27265.13,28014.5,28871.93
Bangladesh,639.78,644.03,653.97,655.42,657.98,619.89,667.84,648.69,629.72,649.55,670.83,662.79,685.6,700.52,703.63,696.39,698.0,661.94,692.8,694.94,720.24,684.08,601.1,618.05,614.97,613.24,614.02,631.08,648.7,655.04,650.16,647.87,650.2,665.87,678.18,686.56,694.23,698.8,705.77,716.55,733.02,745.47,765.43,776.29,800.79,811.42,821.09,859.19,888.09,910.57,940.3,970.34,1012.21,1047.36,1089.32,1131.72,1185.02,1238.15,1296.92,1346.66,1401.97,1464.92,1535.88,1613.65,1696.77,1784.14
Barbados,6182.86,6334.71,6498.87,6687.63,6883.46,7060.44,7301.75,7445.87,7581.16,7708.49,7997.19,8501.51,8857.63,8544.8,8752.14,9433.52,9634.89,10704.41,11452.84,12280.04,13337.15,13346.78,13353.68,13980.57,14550.15,14232.55,14791.45,15257.54,15829.56,16692.41,17630.05,17371.04,16448.24,16447.87,16906.48,17163.17,17833.42,18189.56,18862.39,19578.83,18967.45,18100.3,16720.64,16949.32,16934.04,17748.37,18256.16,18963.09,19922.0,19863.83,20116.33,19779.16,19232.75,19399.89,20246.11,20927.6,21699.49,22122.77,22089.9,20840.42,20740.87,21288.48,21756.29,22234.01,22722.4,23221.4
Belarus,2211.04,2189.88,2302.89,2372.29,2456.51,2633.97,2851.53,2869.0,3045.85,2966.15,3207.35,3346.45,3393.57,3273.78,3670.85,3849.92,4009.14,4160.21,4381.55,4416.78,4737.68,4834.81,4829.72,5214.96,5336.39,5317.77,5540.69,5641.69,5754.89,5696.26,5674.57,5698.78,5812.8,5971.69,6012.08,6032.01,6251.63,6300.39,6406.71,6493.59,6310.34,6242.83,5668.52,5256.57,4681.98,4230.64,4387.21,4953.08,5340.81,5606.08,5989.62,6420.4,6804.84,7278.37,8021.28,8836.68,9666.75,10640.46,11851.15,12086.34,12646.92,13231.7,13798.26,14391.96,15012.17,15655.59
Belgium,8235.13,8517.22,8586.53,8795.56,9126.12,9415.98,9660.66,9783.39,9673.94,9951.68,10439.53,10886.58,11367.52,11788.75,12465.57,12765.39,13098.21,13502.1,13981.73,14795.7,15578.87,16056.15,16758.15,17704.66,18383.07,18107.75,19030.52,19182.39,19706.68,20156.29,20978.9,20811.29,20912.91,20933.93,21440.22,21792.31,22209.49,22743.9,23753.32,24568.18,25308.72,25641.63,25920.29,25532.78,26325.59,27030.35,27312.21,28310.84,28777.68,29723.92,30750.21,30849.08,31135.91,31272.73,32169.17,32648.68,33374.7,34163.4,34374.18,33144.2,33564.22,34016.14,34454.82,34930.99,35441.92,36136.54
Belize,1783.99,1834.03,1887.96,1949.41,2013.33,2072.12,2150.24,2200.15,2247.75,2293.29,2387.28,2420.89,2452.18,2485.98,2526.74,2574.89,2627.45,2690.96,2822.49,2909.45,2997.51,3096.39,3187.89,3221.03,3352.89,3331.92,3448.66,3462.43,3695.25,3814.89,3971.71,3988.52,3845.65,3716.03,3659.57,3486.53,3596.26,3969.84,4238.93,4718.44,5087.43,5343.91,5910.74,6133.55,5950.97,6023.67,5923.8,5893.77,5860.55,6119.53,6646.44,6785.82,7062.63,7390.96,7570.28,7535.15,7776.72,7554.4,7608.22,7210.38,7212.53,7230.9,7265.37,7299.77,7334.24,7368.86
Benin,947.85,936.23,924.51,890.79,900.75,888.72,876.56,864.34,878.97,894.0,916.84,919.89,877.28,901.22,926.59,951.08,962.97,979.45,999.54,1017.88,1015.48,1006.16,1067.96,1076.73,1093.25,1033.13,1000.73,1014.61,990.05,1054.75,1108.44,1132.19,1199.72,1110.07,1116.63,1154.01,1150.02,1097.06,1097.36,1041.79,1073.9,1085.63,1081.75,1091.86,1065.36,1114.99,1126.8,1159.7,1168.95,1193.19,1212.21,1244.72,1256.07,1268.45,1266.45,1251.5,1271.45,1293.29,1319.09,1322.0,1325.34,1338.21,1363.68,1400.37,1442.33,1485.75
Bermuda,19536.57,20107.02,20721.5,21419.89,22146.94,22819.23,23706.01,24283.35,24836.53,25368.02,26437.28,26990.54,27519.9,27245.42,29348.04,29989.21,33370.87,36760.03,36873.46,37435.58,38973.79,40008.29,40614.93,41114.7,41457.75,42145.23,44658.29,45557.64,46333.11,48818.93,50769.7,49055.58,48976.72,49248.94,48753.67,49979.73,51551.0,53206.54,53912.89,53482.46,51909.72,51066.98,49771.38,51260.39,51480.3,53457.25,54942.59,56176.39,58442.86,59064.48,61092.92,61926.81,65044.3,66542.47,68549.76,71567.97,75151.84,77844.35,77778.89,77888.03,79963.9,82420.8,85137.43,87985.84,90956.4,94026.37
Bhutan,287.79,302.67,318.74,336.69,355.73,374.54,397.6,416.18,434.97,453.99,483.47,507.76,536.01,560.73,600.05,634.4,669.52,703.99,746.08,789.35,841.63,836.16,820.07,806.31,817.92,772.26,806.62,839.5,860.33,872.38,900.41,954.67,984.92,1045.87,1086.48,1101.93,1180.56,1480.32,1533.32,1618.68,1715.66,1746.44,1826.99,1942.09,2078.51,2248.12,2339.37,2471.96,2523.7,2699.51,2775.69,3073.48,3189.66,3252.64,3407.68,3501.3,3675.99,4189.86,4316.34,4652.32,4889.63,5129.37,5359.54,5600.28,5946.67,6138.73
Bolivia,2916.95,3066.14,3058.35,2680.58,2686.03,2801.22,2647.65,2589.84,2553.76,2556.79,2596.29,2605.59,2665.89,2780.07,2842.52,2923.58,3045.05,3189.28,2880.69,2913.1,2869.62,2930.56,3051.12,3157.46,3198.53,3336.12,3450.17,3530.48,3524.6,3485.64,3390.98,3353.3,3173.61,2980.95,3029.47,2946.24,2806.6,2828.94,2845.86,2894.45,2958.46,3040.29,3021.18,3073.21,3142.75,3210.57,3267.0,3338.76,3414.51,3365.44,3381.24,3373.64,3380.9,3407.56,3483.71,3616.84,3717.51,3753.11,3900.54,3955.84,4037.76,4137.63,4240.02,4344.95,4452.4,4562.6
Bosnia and Herzegovina,136.24,145.65,155.92,167.42,179.8,192.43,207.66,220.95,234.74,249.04,269.59,287.82,308.84,328.42,357.25,383.93,411.88,440.23,474.26,510.04,552.8,591.59,632.26,681.18,731.27,764.27,821.91,875.42,934.77,991.64,1038.9,1089.25,1132.89,1180.91,1249.14,1314.08,1390.29,1472.03,1566.81,1653.11,1733.26,1594.17,1497.48,1469.14,1656.73,1992.11,3285.05,4335.2,4795.6,5118.08,5300.89,5217.58,5200.07,5150.01,5493.67,5742.28,6119.79,6701.87,7163.45,7115.57,7175.8,7396.44,7755.31,8148.27,8508.05,8885.89
Botswana,695.46,709.58,719.89,733.4,746.97,759.49,771.54,783.64,794.72,808.98,818.97,853.99,889.71,911.98,946.22,911.47,984.54,1086.3,1202.66,1214.98,1388.54,1662.91,2025.58,2316.48,2479.97,2456.04,2659.23,2663.76,2968.77,3163.89,3423.37,3592.29,3821.69,4142.63,4374.06,4558.98,4757.9,5175.97,5807.05,6539.78,6819.49,7057.12,6946.03,6929.39,6828.24,6971.2,7127.32,7922.52,8435.01,9035.66,9512.57,9526.82,10238.5,10644.25,11264.91,11197.09,11638.1,11953.76,12491.3,11362.33,12100.4,12497.94,13178.02,13918.74,14414.36,14949.4
Brazil,2258.58,2307.98,2416.31,2439.76,2554.11,2637.77,2636.28,2787.51,2892.67,3017.78,3140.76,3378.99,3455.44,3488.92,3526.11,3599.75,3657.8,3736.14,4001.16,4172.75,4456.9,4813.05,5205.32,5715.44,6033.83,6158.5,6611.76,6733.0,6875.01,7172.07,7580.67,7066.89,6981.76,6614.89,6764.46,7042.72,7545.98,7620.54,7451.51,7491.29,7124.29,7104.94,6976.62,7267.71,7553.98,7744.87,7793.76,7933.88,7829.49,7721.38,7925.03,7927.92,8033.14,7968.64,8320.25,8486.24,8742.42,9178.71,9523.03,9448.18,10023.32,10336.15,10664.48,11002.88,11361.27,11807.72
Brunei Darussalam,45860.97,46055.12,46311.28,46710.91,47124.86,47377.57,48024.81,48001.09,47903.68,47741.93,48547.35,48685.93,49074.48,49021.54,50090.99,50568.32,50959.29,51164.55,51776.94,52307.13,53254.65,55091.94,58016.22,61385.2,65489.47,63160.91,72927.28,77807.13,80378.5,93613.34,84314.34,66558.5,66649.88,65098.01,63623.53,60564.28,56629.23,55676.09,54343.59,52205.59,51444.68,51609.76,51217.74,49929.18,49831.04,50443.98,50677.89,49634.65,46964.13,47794.0,48615.96,48989.4,49962.15,50304.4,49713.0,48313.39,49397.2,48039.71,45699.99,45191.85,44318.54,43662.16,43093.77,42586.54,42181.93,41768.56
